,name,address,bedroom,bathroom,area,price/m2,price,description,link
5062,"164. RUMAH TERAWAT DI DAGO, BANDUNG","DAGO, Bandung Wetan, Bandung, Jawa Barat",8,3,1300 m²,Rp 41.479.821 per m²,Rp 37 M,,https://www.rumah.com/listing-properti/dijual-164-rumah-terawat-di-dago-bandung-oleh-ragil-17037279
5063,"175. RUMAH SIAP HUNI DI TAMAN RAHAYU, KOPO BANDUNG","Taman Rahayu, Kopo, Bandung, Jawa Barat",3,2,120 m²,Rp 6.875.000 per m²,"Rp 1,1 M",,https://www.rumah.com/listing-properti/dijual-175-rumah-siap-huni-di-taman-rahayu-kopo-bandung-oleh-ragil-17037008
5064,"174. RUMAH 3 LANTAI COCOK UNTUK USAHA ATAU KANTOR DI CIATEUL, BANDUNG PUSAT","Ciateul, Ciateul, Bandung, Jawa Barat",4,4,245 m²,Rp 21.923.077 per m²,"Rp 2,85 M",,https://www.rumah.com/listing-properti/dijual-174-rumah-3-lantai-cocok-untuk-usaha-atau-kantor-di-ciateul-bandung-pusat-oleh-ragil-17029900
5065,"158. RUMAH MINIMALIS 2 LANTAI DI SADANG SERANG, COBLONG BANDUNG","Sadang Serang, Coblong, Bandung, Jawa Barat",7,6,400 m²,Rp 15.901.060 per m²,"Rp 4,5 M",,https://www.rumah.com/listing-properti/dijual-158-rumah-minimalis-2-lantai-di-sadang-serang-coblong-bandung-oleh-ragil-16888015
5066,"155. RUMAH SIAP HUNI DI PERMATA KOPO, SUKAMENAK BANDUNG","Permata Kopo, Kopo, Bandung, Jawa Barat",3,3,100 m²,Rp 6.160.714 per m²,Rp 690 jt,,https://www.rumah.com/listing-properti/dijual-155-rumah-siap-huni-di-permata-kopo-sukamenak-bandung-oleh-ragil-16869956
5067,"085. RUMAH MINIMALIS BARU RENOV DI BATUNUNGGAL ELOK, BANDUNG (TAO)","Batununggal Elok, Batununggal, Bandung, Jawa Barat",5,5,400 m²,Rp 15.333.333 per m²,"Rp 4,6 M",,https://www.rumah.com/listing-properti/dijual-085-rumah-minimalis-baru-renov-di-batununggal-elok-bandung-tao-oleh-ragil-16736149
5068,"072. RUMAH 2 LANTAI MINIMALIS DI NATA ENDAH, KOPO","Nata Endah, Kopo, Bandung, Jawa Barat",3,3,200 m²,Rp 10.791.367 per m²,"Rp 1,5 M",,https://www.rumah.com/listing-properti/dijual-072-rumah-2-lantai-minimalis-di-nata-endah-kopo-oleh-ragil-16579195
5069,"057. RUMAH MINIMALIS DI THE SVARGA, KOPO BANDUNG","Manglid, Kopo, Bandung, Jawa Barat",2,1,90 m²,Rp 8.256.881 per m²,Rp 900 jt,,https://www.rumah.com/listing-properti/dijual-057-rumah-minimalis-di-the-svarga-kopo-bandung-oleh-ragil-16556001
5070,"036. RUMAH SIAP HUNI DI SAUYUNAN, CIBADUYUT LAMA - BANDUNG SELATAN","Sauyunan, Cibaduyut, Bandung, Jawa Barat",4,2,120 m²,Rp 7.857.143 per m²,"Rp 1,1 M",,https://www.rumah.com/listing-properti/dijual-036-rumah-siap-huni-di-sauyunan-cibaduyut-lama-bandung-selatan-oleh-ragil-16163319
5071,"118. RUMAH SIAP HUNI DI CLUSTER FUJIYAMA, PINUS - BANDUNG TIMUR","Pinus Regency, Pinus Regensi, Bandung, Jawa Barat",2,1,50 m²,Rp 7.083.333 per m²,Rp 850 jt,,https://www.rumah.com/listing-properti/dijual-118-rumah-siap-huni-di-cluster-fujiyama-pinus-bandung-timur-oleh-ragil-15787248
5072,RE Martadinata,"RE Martadinata, Bandung Wetan, Bandung, Jawa Barat",3,2,300 m²,Rp 24.666.667 per m²,"Rp 18,5 M",,https://www.rumah.com/listing-properti/dijual-re-martadinata-oleh-elly-abidin-16797434
5073,Rumah Nyaman Murah Di komplek Giri mekar,"Cijambe, Ujung Berung, Bandung, Jawa Barat",3,1,36 m²,Rp 5.376.344 per m²,Rp 500 jt,,https://www.rumah.com/listing-properti/dijual-rumah-nyaman-murah-di-komplek-giri-mekar-oleh-irwan-ruhaendi-16899643
5074,Rumah Nyaman Dalam Cluster luas tanah 180M2,"Panyilekan, Panyileukan, Bandung, Jawa Barat",6,4,150 m²,Rp 6.111.111 per m²,"Rp 1,1 M",,https://www.rumah.com/listing-properti/dijual-rumah-nyaman-dalam-cluster-luas-tanah-180m2-oleh-irwan-ruhaendi-16940008
